id,filename,relative_path,containing_directory,current_artist,guessed_artist,confidence,reason,updated
607,08 No One In The World.m4a,iTunes/Anita Baker/The Best Of Anita Baker/08 No One In The World.m4a,The Best Of Anita Baker,,Anita Baker,0.95,artist folder after collection folder: iTunes,yes
608,10 Giving You The Best That I Got.m4a,iTunes/Anita Baker/The Best Of Anita Baker/10 Giving You The Best That I Got.m4a,The Best Of Anita Baker,,Anita Baker,0.95,artist folder after collection folder: iTunes,yes
609,11 Good Love.m4a,iTunes/Anita Baker/The Best Of Anita Baker/11 Good Love.m4a,The Best Of Anita Baker,,Anita Baker,0.95,artist folder after collection folder: iTunes,yes
610,12 Just Because.m4a,iTunes/Anita Baker/The Best Of Anita Baker/12 Just Because.m4a,The Best Of Anita Baker,,Anita Baker,0.95,artist folder after collection folder: iTunes,yes
611,16 Body And Soul.m4a,iTunes/Anita Baker/The Best Of Anita Baker/16 Body And Soul.m4a,The Best Of Anita Baker,,Anita Baker,0.95,artist folder after collection folder: iTunes,yes
612,17 I Apologize.m4a,iTunes/Anita Baker/The Best Of Anita Baker/17 I Apologize.m4a,The Best Of Anita Baker,,Anita Baker,0.95,artist folder after collection folder: iTunes,yes
613,01 Let the Feelings Go (Radio Edit).m4a,iTunes/AnnaGrace/Let the Feelings Go/01 Let the Feelings Go (Radio Edit).m4a,Let the Feelings Go,,AnnaGrace,0.95,artist folder after collection folder: iTunes,yes
617,02 Pieces Of Me.m4a,iTunes/Ashlee Simpson/Autobiography/02 Pieces Of Me.m4a,Autobiography,,Ashlee Simpson,0.95,artist folder after collection folder: iTunes,yes
618,04 La La.m4a,iTunes/Ashlee Simpson/Autobiography/04 La La.m4a,Autobiography,,Ashlee Simpson,0.95,artist folder after collection folder: iTunes,yes
619,01 Last Night.m4a,iTunes/Az Yet/Az Yet/01 Last Night.m4a,Az Yet,,Az Yet,0.95,artist folder after collection folder: iTunes,yes
620,05 Hard To Say I'm Sorry.m4a,iTunes/Az Yet/Az Yet/05 Hard To Say I'm Sorry.m4a,Az Yet,,Az Yet,0.95,artist folder after collection folder: iTunes,yes
623,01 Love me do.m4a,iTunes/Beatles/Unknown Album/01 Love me do.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
624,02 from me to you.m4a,iTunes/Beatles/Unknown Album/02 from me to you.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
625,03 she loves you.m4a,iTunes/Beatles/Unknown Album/03 she loves you.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
626,04 i want to hold your hand.m4a,iTunes/Beatles/Unknown Album/04 i want to hold your hand.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
627,05 can't buy me love.m4a,iTunes/Beatles/Unknown Album/05 can't buy me love.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
628,06 a hard day's night.m4a,iTunes/Beatles/Unknown Album/06 a hard day's night.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
629,07 I feel fine.m4a,iTunes/Beatles/Unknown Album/07 I feel fine.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
630,08 eight days a week.m4a,iTunes/Beatles/Unknown Album/08 eight days a week.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
631,09 ticket to ride.m4a,iTunes/Beatles/Unknown Album/09 ticket to ride.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
632,10 help!.m4a,iTunes/Beatles/Unknown Album/10 help!.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
633,11 yesterday.m4a,iTunes/Beatles/Unknown Album/11 yesterday.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
634,12 daytripper.m4a,iTunes/Beatles/Unknown Album/12 daytripper.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
635,13 we can work it out.m4a,iTunes/Beatles/Unknown Album/13 we can work it out.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
636,14 paperback writer.m4a,iTunes/Beatles/Unknown Album/14 paperback writer.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
637,15 yellow submarine.m4a,iTunes/Beatles/Unknown Album/15 yellow submarine.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
638,16 elanor rigby.m4a,iTunes/Beatles/Unknown Album/16 elanor rigby.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
639,17 penny lane.m4a,iTunes/Beatles/Unknown Album/17 penny lane.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
640,18 all you need is love.m4a,iTunes/Beatles/Unknown Album/18 all you need is love.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
641,19 hello goodbye.m4a,iTunes/Beatles/Unknown Album/19 hello goodbye.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
642,20 lady madonna.m4a,iTunes/Beatles/Unknown Album/20 lady madonna.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
643,21 hey jude.m4a,iTunes/Beatles/Unknown Album/21 hey jude.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
644,22 get back.m4a,iTunes/Beatles/Unknown Album/22 get back.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
645,23 the ballad of john and yoko.m4a,iTunes/Beatles/Unknown Album/23 the ballad of john and yoko.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
646,24 something.m4a,iTunes/Beatles/Unknown Album/24 something.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
647,25 come together.m4a,iTunes/Beatles/Unknown Album/25 come together.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
648,26 let it be.m4a,iTunes/Beatles/Unknown Album/26 let it be.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
649,27 the long and winding road.m4a,iTunes/Beatles/Unknown Album/27 the long and winding road.m4a,Unknown Album,,Beatles,0.95,artist folder after collection folder: iTunes,yes
650,1-08 How Can You Mend A Broken Heart.m4a,iTunes/Bee Gees/Number Ones/1-08 How Can You Mend A Broken Heart.m4a,Number Ones,,Bee Gees,0.95,artist folder after collection folder: iTunes,yes
651,1-09 Jive Talkin'.m4a,iTunes/Bee Gees/Number Ones/1-09 Jive Talkin'.m4a,Number Ones,,Bee Gees,0.95,artist folder after collection folder: iTunes,yes
652,1-10 You Should Be Dancing.m4a,iTunes/Bee Gees/Number Ones/1-10 You Should Be Dancing.m4a,Number Ones,,Bee Gees,0.95,artist folder after collection folder: iTunes,yes
653,1-12 How Deep Is Your Love.m4a,iTunes/Bee Gees/Number Ones/1-12 How Deep Is Your Love.m4a,Number Ones,,Bee Gees,0.95,artist folder after collection folder: iTunes,yes
654,1-13 Stayin' Alive.m4a,iTunes/Bee Gees/Number Ones/1-13 Stayin' Alive.m4a,Number Ones,,Bee Gees,0.95,artist folder after collection folder: iTunes,yes
655,1-14 Night Fever.m4a,iTunes/Bee Gees/Number Ones/1-14 Night Fever.m4a,Number Ones,,Bee Gees,0.95,artist folder after collection folder: iTunes,yes
656,1-15 Too Much Heaven.m4a,iTunes/Bee Gees/Number Ones/1-15 Too Much Heaven.m4a,Number Ones,,Bee Gees,0.95,artist folder after collection folder: iTunes,yes
657,1-16 Tragedy.m4a,iTunes/Bee Gees/Number Ones/1-16 Tragedy.m4a,Number Ones,,Bee Gees,0.95,artist folder after collection folder: iTunes,yes
664,07 Steal My Kisses.m4a,iTunes/Ben Harper & The Innocent Criminals/Burn to Shine/07 Steal My Kisses.m4a,Burn to Shine,,Ben Harper & The Innocent Criminals,0.95,artist folder after collection folder: iTunes,yes
665,01 Satisfaction.m4a,iTunes/Benny Benassi Presents The Biz/Hypnotica/01 Satisfaction.m4a,Hypnotica,,Benny Benassi Presents The Biz,0.95,artist folder after collection folder: iTunes,yes
667,04 The Globe.m4a,iTunes/Big Audio Dynamite/Big Audio Dynamite_ Super Hits/04 The Globe.m4a,Big Audio Dynamite_ Super Hits,,Big Audio Dynamite,0.95,artist folder after collection folder: iTunes,yes
668,01 Rush.m4a,iTunes/Big Audio Dynamite/The Globe/01 Rush.m4a,The Globe,,Big Audio Dynamite,0.95,artist folder after collection folder: iTunes,yes
675,05 Shut Up.m4a,iTunes/Black Eyed Peas/Elephunk/05 Shut Up.m4a,Elephunk,,Black Eyed Peas,0.95,artist folder after collection folder: iTunes,yes
676,07 Latin Girls.m4a,iTunes/Black Eyed Peas/Elephunk/07 Latin Girls.m4a,Elephunk,,Black Eyed Peas,0.95,artist folder after collection folder: iTunes,yes
677,01 Boom Boom Pow.m4a,iTunes/Black Eyed Peas/The E.N.D. (The Energy Never Dies)/01 Boom Boom Pow.m4a,The E.N.D. (The Energy Never Dies),,Black Eyed Peas,0.95,artist folder after collection folder: iTunes,yes
678,03 Meet Me Halfway.m4a,iTunes/Black Eyed Peas/The E.N.D. (The Energy Never Dies)/03 Meet Me Halfway.m4a,The E.N.D. (The Energy Never Dies),,Black Eyed Peas,0.95,artist folder after collection folder: iTunes,yes
679,05 I Gotta Feeling.m4a,iTunes/Black Eyed Peas/The E.N.D. (The Energy Never Dies)/05 I Gotta Feeling.m4a,The E.N.D. (The Energy Never Dies),,Black Eyed Peas,0.95,artist folder after collection folder: iTunes,yes
681,01 Don't Make Me (Single Version).m4a,iTunes/Blake Shelton/Don't Make Me - Single/01 Don't Make Me (Single Version).m4a,Don't Make Me - Single,,Blake Shelton,0.95,artist folder after collection folder: iTunes,yes
683,05 No Rain.m4a,iTunes/Blind Melon/Unknown Album/05 No Rain.m4a,Unknown Album,,Blind Melon,0.95,artist folder after collection folder: iTunes,yes
687,01 Then (Single Edit).m4a,iTunes/Brad Paisley/Then (Single Edit) - Single/01 Then (Single Edit).m4a,Then (Single Edit) - Single,,Brad Paisley,0.95,artist folder after collection folder: iTunes,yes
691,01 3.m4a,iTunes/Britney Spears/3 - Single/01 3.m4a,3 - Single,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
692,03 Radar.m4a,iTunes/Britney Spears/Blackout/03 Radar.m4a,Blackout,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
693,04 Break The Ice.m4a,iTunes/Britney Spears/Blackout/04 Break The Ice.m4a,Blackout,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
694,05 Heaven On Earth.m4a,iTunes/Britney Spears/Blackout/05 Heaven On Earth.m4a,Blackout,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
695,06 Get Naked (I Got A Plan).m4a,iTunes/Britney Spears/Blackout/06 Get Naked (I Got A Plan).m4a,Blackout,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
696,07 Freakshow.m4a,iTunes/Britney Spears/Blackout/07 Freakshow.m4a,Blackout,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
697,08 Toy Soldier.m4a,iTunes/Britney Spears/Blackout/08 Toy Soldier.m4a,Blackout,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
698,09 Hot As Ice.m4a,iTunes/Britney Spears/Blackout/09 Hot As Ice.m4a,Blackout,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
699,10 Ooh Ooh Baby.m4a,iTunes/Britney Spears/Blackout/10 Ooh Ooh Baby.m4a,Blackout,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
700,11 Perfect Lover.m4a,iTunes/Britney Spears/Blackout/11 Perfect Lover.m4a,Blackout,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
701,12 Why Should I Be Sad.m4a,iTunes/Britney Spears/Blackout/12 Why Should I Be Sad.m4a,Blackout,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
704,01 Womanizer.m4a,iTunes/Britney Spears/Circus/01 Womanizer.m4a,Circus,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
705,02 Circus.m4a,iTunes/Britney Spears/Circus/02 Circus.m4a,Circus,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
706,03 Out From Under.m4a,iTunes/Britney Spears/Circus/03 Out From Under.m4a,Circus,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
707,04 Kill The Lights.m4a,iTunes/Britney Spears/Circus/04 Kill The Lights.m4a,Circus,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
708,05 Shattered Glass.m4a,iTunes/Britney Spears/Circus/05 Shattered Glass.m4a,Circus,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
709,06 If U Seek Amy.m4a,iTunes/Britney Spears/Circus/06 If U Seek Amy.m4a,Circus,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
710,07 Unusual You.m4a,iTunes/Britney Spears/Circus/07 Unusual You.m4a,Circus,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
711,08 Blur.m4a,iTunes/Britney Spears/Circus/08 Blur.m4a,Circus,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
712,09 Mmm Papi.m4a,iTunes/Britney Spears/Circus/09 Mmm Papi.m4a,Circus,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
713,10 Mannequin.m4a,iTunes/Britney Spears/Circus/10 Mannequin.m4a,Circus,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
714,11 Lace And Leather.m4a,iTunes/Britney Spears/Circus/11 Lace And Leather.m4a,Circus,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
715,12 My Baby.m4a,iTunes/Britney Spears/Circus/12 My Baby.m4a,Circus,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
716,13 Radar.m4a,iTunes/Britney Spears/Circus/13 Radar.m4a,Circus,,Britney Spears,0.95,artist folder after collection folder: iTunes,yes
721,03 The Long Goodbye.m4a,iTunes/Brooks & Dunn/Steers And Stripes/03 The Long Goodbye.m4a,Steers And Stripes,,Brooks & Dunn,0.95,artist folder after collection folder: iTunes,yes
722,05 My Heart Is Lost To You.m4a,iTunes/Brooks & Dunn/Steers And Stripes/05 My Heart Is Lost To You.m4a,Steers And Stripes,,Brooks & Dunn,0.95,artist folder after collection folder: iTunes,yes
733,"12 I Breathe In, I Breathe Out.m4a","iTunes/Chris Cagle/Play It Loud/12 I Breathe In, I Breathe Out.m4a",Play It Loud,,Chris Cagle,0.95,artist folder after collection folder: iTunes,yes
