file_id,action,reason,duplicate_key,artist,album,title,size_bytes,source_path,keep_path,quarantine_path
2684,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | a stranger,A Perfect Circle,Thirteenth Step,A Stranger,4623508,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/06 - A Stranger.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/06 - A Stranger (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/06 - A Stranger.mp3
3906,keep,largest file in duplicate metadata group,a perfect circle | thirteenth step | a stranger,A Perfect Circle,Thirteenth Step,A Stranger,4623508,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/06 - A Stranger (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/06 - A Stranger (2).mp3,
3918,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | a stranger,A Perfect Circle,Thirteenth Step,A Stranger,3127114,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/MGHJ.m4a,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/06 - A Stranger (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/MGHJ.m4a
2682,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | blue,A Perfect Circle,Thirteenth Step,Blue,6094307,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/04 - Blue.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/04 - Blue (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/04 - Blue.mp3
3904,keep,largest file in duplicate metadata group,a perfect circle | thirteenth step | blue,A Perfect Circle,Thirteenth Step,Blue,6094307,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/04 - Blue (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/04 - Blue (2).mp3,
3923,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | blue,A Perfect Circle,Thirteenth Step,Blue,4114369,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/XSRA.m4a,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/04 - Blue (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/XSRA.m4a
2686,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | crimes,A Perfect Circle,Thirteenth Step,Crimes,3726986,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/08 - Crimes.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/08 - Crimes (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/08 - Crimes.mp3
3908,keep,largest file in duplicate metadata group,a perfect circle | thirteenth step | crimes,A Perfect Circle,Thirteenth Step,Crimes,3726986,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/08 - Crimes (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/08 - Crimes (2).mp3,
3919,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | crimes,A Perfect Circle,Thirteenth Step,Crimes,2528864,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/NDSO.m4a,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/08 - Crimes (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/NDSO.m4a
2690,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | gravity,A Perfect Circle,Thirteenth Step,Gravity,7351946,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/12 - Gravity.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/12 - Gravity (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/12 - Gravity.mp3
3912,keep,largest file in duplicate metadata group,a perfect circle | thirteenth step | gravity,A Perfect Circle,Thirteenth Step,Gravity,7351946,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/12 - Gravity (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/12 - Gravity (2).mp3,
3922,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | gravity,A Perfect Circle,Thirteenth Step,Gravity,4957952,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/XCOY.m4a,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/12 - Gravity (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/XCOY.m4a
2689,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | lullaby,A Perfect Circle,Thirteenth Step,Lullaby,2933908,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/11 - Lullaby.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/11 - Lullaby (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/11 - Lullaby.mp3
3911,keep,largest file in duplicate metadata group,a perfect circle | thirteenth step | lullaby,A Perfect Circle,Thirteenth Step,Lullaby,2933908,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/11 - Lullaby (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/11 - Lullaby (2).mp3,
3914,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | lullaby,A Perfect Circle,Thirteenth Step,Lullaby,2004432,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/AUPY.m4a,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/11 - Lullaby (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/AUPY.m4a
2688,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | pet,A Perfect Circle,Thirteenth Step,Pet,6589588,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/10 - Pet.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/10 - Pet (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/10 - Pet.mp3
3910,keep,largest file in duplicate metadata group,a perfect circle | thirteenth step | pet,A Perfect Circle,Thirteenth Step,Pet,6589588,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/10 - Pet (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/10 - Pet (2).mp3,
3924,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | pet,A Perfect Circle,Thirteenth Step,Pet,4447258,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/YBSL.m4a,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/10 - Pet (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/YBSL.m4a
